,tva,año,cant_perit,cm_hs_chapa,cm_hs_elect,cm_hs_mec,cm_hs_pint,cm_hs_total,cm_hs_chapa_ipc,cm_hs_elect_ipc,cm_hs_mec_ipc,cm_hs_pint_ipc,cm_hs_total_ipc,cm_hs_chapa_usd,cm_hs_elect_usd,cm_hs_mec_usd,cm_hs_pint_usd,cm_hs_total_usd,var_cm_hs_chapa,var_cm_hs_elect,var_cm_hs_mec,var_cm_hs_pint,var_cm_hs_total,var_cm_hs_chapa_ipc,var_cm_hs_elect_ipc,var_cm_hs_mec_ipc,var_cm_hs_pint_ipc,var_cm_hs_total_ipc,var_cm_hs_chapa_usd,var_cm_hs_elect_usd,var_cm_hs_mec_usd,var_cm_hs_pint_usd,var_cm_hs_total_usd
0,auto_cleas_no,2023,73149.0,4228,6097,5090,4480,4195,19749,28626,24911,20698,19885,7.3,10.6,9.1,7.6,7.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,auto_cleas_no,2024,69197.0,13983,17257,17287,14419,13468,19671,24321,24527,20301,19031,11.9,14.7,14.9,12.3,11.6,230.7%,183.0%,239.6%,221.8%,221.0%,-0.4%,-15.0%,-1.5%,-1.9%,-4.3%,63.3%,38.7%,63.7%,61.1%,58.1%
2,auto_cleas_no,2025,40418.0,22110,31996,30022,22594,22428,23464,33914,31838,23982,23797,18.1,26.1,24.5,18.5,18.3,58.1%,85.4%,73.7%,56.7%,66.5%,19.3%,39.4%,29.8%,18.1%,25.0%,51.4%,77.9%,64.3%,50.0%,58.2%
3,auto_cleas_si,2023,12190.0,4447,5409,5366,4416,4448,20498,25154,24633,20369,20501,7.6,9.3,9.1,7.5,7.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,auto_cleas_si,2024,10583.0,13780,16362,17819,13670,13788,19393,23503,25116,19239,19407,11.8,14.2,15.2,11.7,11.8,209.8%,202.5%,232.1%,209.5%,210.0%,-5.4%,-6.6%,2.0%,-5.5%,-5.3%,55.5%,53.0%,67.1%,55.4%,55.6%
5,auto_cleas_si,2025,5835.0,21892,35402,29528,21642,21888,23223,37383,31340,22960,23221,17.9,29.0,24.1,17.7,17.9,58.9%,116.4%,65.7%,58.3%,58.7%,19.7%,59.1%,24.8%,19.3%,19.7%,52.1%,104.2%,58.7%,51.4%,51.9%
6,camion_cleas_no,2023,1946.0,9168,14537,11613,9129,9351,42056,65350,51856,41122,42646,15.5,24.0,19.2,15.2,15.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,camion_cleas_no,2024,1978.0,28324,39011,34225,25153,27622,40653,55632,49041,35945,39629,24.2,33.7,29.3,21.5,23.6,208.9%,168.3%,194.7%,175.5%,195.4%,-3.3%,-14.9%,-5.4%,-12.6%,-7.1%,55.8%,40.7%,52.8%,41.7%,49.9%
8,camion_cleas_no,2025,1037.0,44400,56401,51097,39200,43820,47080,59999,54200,41616,46475,36.3,46.0,41.7,32.0,35.8,56.8%,44.6%,49.3%,55.8%,58.6%,15.8%,7.8%,10.5%,15.8%,17.3%,49.8%,36.5%,42.1%,48.7%,51.5%
9,camion_cleas_si,2023,22.0,3399,59681,53338,9808,3360,13794,261137,226598,43671,13588,5.1,97.9,84.0,16.2,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,camion_cleas_si,2024,23.0,16790,65535,55728,27998,16546,18555,77237,67395,35570,18316,11.6,47.5,40.4,20.7,11.4,394.0%,9.8%,4.5%,185.5%,392.3%,34.5%,-70.4%,-70.3%,-18.6%,34.8%,128.6%,-51.5%,-51.9%,27.5%,129.8%
11,camion_cleas_si,2025,22.0,23629,59744,47038,23819,23771,25070,63788,50316,25277,25234,19.3,48.6,38.1,19.4,19.4,40.7%,-8.8%,-15.6%,-14.9%,43.7%,35.1%,-17.4%,-25.3%,-28.9%,37.8%,66.7%,2.3%,-5.7%,-6.1%,69.5%
