marca,año,cant_ocompra,cant_piezas_total,costo_pieza_prom_hist,monto_total_compras,monto_ipc,monto_usd,costo_prom_ipc,costo_prom_usd,var_costo_prom_ipc,var_costo_prom_hist,var_costo_prom_usd
FORD,2023,37,245,300131,42600094,188666622,67456,1103567,419,-,-,-
FORD,2024,39,350,313104,113273543,160267760,89265,451851,266,-59.1%,4.3%,-36.5%
FORD,2025,18,69,361541,31231462,32970769,25312,375302,292,-16.9%,15.5%,10.0%
IVECO,2023,83,934,149525,131872179,628208858,230360,651413,241,-,-,-
IVECO,2024,90,993,507386,512159224,767178377,443374,736677,435,13.1%,239.3%,80.8%
IVECO,2025,56,679,528607,390063652,427920482,319742,568674,431,-22.8%,4.2%,-1.0%
MERCEDES BENZ,2023,97,562,211722,127078042,525134992,187283,883925,320,-,-,-
MERCEDES BENZ,2024,101,923,601139,651338472,943158175,533278,869954,506,-1.6%,183.9%,58.1%
MERCEDES BENZ,2025,66,513,620634,302895665,324730680,248278,660962,508,-24.0%,3.2%,0.4%
SCANIA,2023,72,945,162278,174226471,728267585,272256,698521,260,-,-,-
SCANIA,2024,105,2198,428904,940800692,1418567681,794687,622617,368,-10.9%,164.3%,41.8%
SCANIA,2025,67,1381,515654,685219838,724262606,558446,548191,421,-12.0%,20.2%,14.3%
VOLVO,2023,40,386,345399,106319193,530995910,195809,1673735,634,-,-,-
VOLVO,2024,50,817,716543,370480906,535798224,318197,969581,623,-42.1%,107.5%,-1.8%
VOLVO,2025,16,154,839053,111661224,121890967,91725,906698,689,-6.5%,17.1%,10.7%
